humidity,weather,holiday,season,feeling_temp,temp,hour,count,year,month,day
0.62,1,0,4,0.3485,0.36,16,250,2011,12,4
0.64,1,0,2,0.5152,0.54,4,18,2012,6,6
0.53,1,0,2,0.6212,0.62,23,107,2011,6,2
0.87,2,0,2,0.3485,0.36,8,145,2012,3,5
0.55,1,0,3,0.697,0.76,18,857,2012,7,1
0.72,1,0,4,0.4545,0.46,0,45,2012,10,0
0.54,1,0,3,0.6515,0.7,22,216,2012,8,1
0.93,1,0,1,0.2727,0.26,9,40,2012,1,6
1.0,2,0,4,0.5152,0.54,4,7,2011,10,3
0.24,1,0,2,0.697,0.82,16,534,2012,6,5
0.78,1,0,3,0.6061,0.66,5,21,2011,6,1
1.0,2,0,1,0.4394,0.44,18,280,2011,12,2
0.6,1,0,1,0.2576,0.26,7,279,2012,1,1
0.38,1,0,1,0.4394,0.44,14,138,2012,2,1
0.78,1,0,2,0.5455,0.58,22,83,2012,5,1
0.52,1,0,1,0.2727,0.28,15,65,2011,1,1
0.8,1,0,1,0.2273,0.22,5,16,2012,2,0
0.37,1,0,3,0.6667,0.76,14,302,2012,8,1
0.3,2,0,1,0.4091,0.4,14,161,2011,2,6
0.83,3,0,3,0.6061,0.66,7,230,2012,7,0
0.94,1,0,4,0.3939,0.38,8,662,2012,12,1
0.61,2,0,2,0.6364,0.68,8,477,2011,6,1
0.73,1,0,4,0.5303,0.56,8,838,2012,9,2
0.54,1,0,3,0.6667,0.72,14,275,2012,8,0
0.55,1,0,1,0.5,0.52,21,124,2011,2,3
0.35,1,0,1,0.4091,0.4,20,47,2011,2,6
0.64,2,0,2,0.6061,0.6,11,217,2012,5,1
0.41,1,0,3,0.6212,0.62,23,131,2012,6,1
0.74,2,0,3,0.6212,0.66,11,192,2011,9,4
0.49,1,0,2,0.3636,0.34,22,55,2011,3,1
0.53,1,0,2,0.6212,0.6,23,183,2012,6,5
0.72,1,0,3,0.4545,0.46,3,28,2011,9,5
0.41,1,0,3,0.7424,0.82,14,349,2011,7,6
0.93,1,0,1,0.3333,0.34,13,75,2011,2,2
0.33,1,0,4,0.6212,0.6,16,691,2012,9,6
0.41,1,0,1,0.4545,0.46,15,55,2011,2,4
0.44,1,0,1,0.4242,0.42,15,182,2011,3,5
0.77,1,0,2,0.4242,0.42,5,23,2011,5,0
0.89,2,0,3,0.5758,0.64,19,292,2012,8,6
0.93,3,0,2,0.2273,0.24,3,1,2011,3,3
1.0,2,0,2,0.4697,0.48,5,34,2012,3,3
0.83,2,0,3,0.5758,0.62,6,151,2012,8,4
0.73,1,0,2,0.5909,0.6,6,178,2012,5,3
0.55,1,0,3,0.7576,0.8,12,694,2012,9,5
0.61,1,0,3,0.6061,0.62,5,14,2011,6,5
0.88,1,0,4,0.4545,0.46,0,129,2011,10,6
0.24,1,0,2,0.5455,0.58,16,269,2011,5,3
0.88,3,0,2,0.5152,0.54,8,156,2012,5,0
0.66,1,0,3,0.6818,0.72,15,624,2012,7,6
0.61,1,0,2,0.303,0.32,22,55,2011,4,5
0.7,1,0,1,0.2727,0.26,1,43,2012,2,5
0.71,1,0,4,0.3939,0.38,2,5,2012,10,0
0.87,1,0,1,0.3485,0.36,6,91,2012,2,3
0.6,2,0,1,0.5152,0.54,11,204,2012,3,3
0.52,1,0,3,0.7727,0.82,2,61,2011,7,5
0.88,2,0,3,0.5455,0.6,1,130,2012,7,6
0.63,1,0,1,0.4545,0.46,20,180,2012,1,1
0.55,2,0,3,0.697,0.76,20,202,2012,6,4
0.57,2,0,4,0.6212,0.64,13,710,2012,10,5
0.72,2,0,4,0.5,0.52,20,256,2012,10,0
0.54,1,0,2,0.4242,0.42,2,7,2011,4,3
0.43,1,0,1,0.1212,0.16,14,79,2012,1,1
0.66,1,0,3,0.697,0.74,23,91,2011,7,0
0.88,3,0,4,0.5,0.52,10,123,2011,10,2
0.39,1,0,3,0.803,0.88,13,300,2012,6,4
0.45,1,1,1,0.3182,0.32,7,19,2011,12,0
0.48,1,0,3,0.6818,0.76,9,180,2011,8,2
0.87,1,0,4,0.3636,0.34,1,8,2011,11,0
0.87,2,0,4,0.3939,0.38,0,28,2012,12,0
0.5,2,0,1,0.4242,0.42,15,78,2012,3,4
0.45,1,0,1,0.3333,0.3,11,126,2011,2,5
0.34,1,0,3,0.6212,0.66,20,268,2011,8,0
0.19,1,0,1,0.5152,0.54,15,110,2011,3,2
0.57,1,0,1,0.3182,0.34,13,373,2012,1,5
0.54,1,0,4,0.4242,0.42,5,7,2011,10,6
0.83,2,0,3,0.6061,0.66,23,147,2012,7,1
0.53,1,0,4,0.3182,0.32,22,102,2011,12,4
0.36,1,0,1,0.4697,0.48,17,364,2012,2,5
0.66,1,0,3,0.697,0.74,16,628,2012,7,6
0.65,2,0,4,0.3182,0.3,1,21,2012,11,4
0.81,1,0,4,0.3636,0.36,20,116,2011,11,6
0.77,1,0,2,0.4394,0.44,6,182,2012,5,4
0.87,3,0,2,0.303,0.32,20,47,2011,4,4
0.93,1,0,1,0.2121,0.14,3,8,2011,1,6
0.79,3,0,3,0.697,0.72,20,137,2011,8,5
0.27,1,0,3,0.7879,0.9,16,302,2011,7,5
0.8,2,0,1,0.197,0.18,6,16,2011,1,4
0.29,1,0,1,0.6212,0.62,19,162,2011,2,4
0.67,2,1,2,0.4545,0.46,18,263,2011,4,4
0.49,1,0,4,0.303,0.34,18,376,2011,11,2
0.75,2,0,1,0.3182,0.28,1,21,2012,1,3
0.41,1,0,2,0.6212,0.64,12,282,2012,6,0
0.57,1,1,4,0.303,0.32,0,23,2011,11,3
0.73,1,0,4,0.2576,0.26,19,350,2012,11,1
0.49,1,0,1,0.1515,0.06,22,30,2011,1,5
0.94,3,0,2,0.4394,0.44,2,5,2012,4,0
0.89,2,0,3,0.6364,0.68,4,19,2012,7,6
0.76,2,0,2,0.4091,0.4,16,136,2011,3,2
0.39,1,0,1,0.5,0.52,12,273,2011,12,5
0.52,1,0,1,0.2727,0.26,2,2,2011,3,2
0.8,1,0,1,0.2121,0.2,7,256,2012,1,2
0.93,3,0,1,0.303,0.34,19,115,2011,2,3
0.74,1,0,1,0.2121,0.18,20,43,2011,1,5
0.49,1,0,1,0.3333,0.34,10,208,2012,1,6
0.31,1,0,2,0.4848,0.5,18,698,2012,4,3
0.4,1,0,2,0.6212,0.6,21,258,2012,5,4
0.7,2,0,3,0.697,0.74,20,448,2012,8,1
0.7,2,0,2,0.303,0.32,10,100,2012,4,0
0.6,1,0,2,0.5455,0.58,21,261,2012,3,2
0.61,1,0,2,0.6515,0.7,19,522,2012,5,3
0.28,1,0,2,0.6515,0.74,14,178,2011,6,2
0.39,1,1,2,0.803,0.88,15,311,2011,5,0
0.71,3,0,1,0.3333,0.34,16,76,2011,1,6
0.39,1,0,1,0.3182,0.34,14,117,2012,1,3
0.69,1,0,3,0.6061,0.64,5,36,2012,8,0
0.93,2,0,1,0.1818,0.18,6,79,2012,1,1
0.36,1,0,4,0.4848,0.5,16,481,2012,10,3
0.71,1,1,4,0.3485,0.36,22,22,2011,11,3
0.89,2,0,2,0.5909,0.66,5,21,2011,6,2
0.66,2,0,4,0.3182,0.32,5,26,2012,11,4
0.08,1,0,1,0.5,0.52,23,77,2011,2,4
0.94,1,0,2,0.4697,0.48,5,26,2011,5,3
0.36,1,0,4,0.5,0.52,10,275,2012,10,4
0.88,2,0,3,0.5152,0.54,5,22,2011,9,1
0.71,1,0,4,0.3788,0.36,21,157,2012,11,1
0.38,1,0,2,0.4242,0.42,17,273,2011,4,1
0.32,1,0,2,0.2121,0.24,4,3,2012,3,1
