humidity,weather,holiday,season,feeling_temp,temp,hour,casual,registered,count,year,month,date,day,is_weekend
0.66,1,0,4,0.3182,0.34,7,13,30,43,2011,11,13,6,1
0.53,2,0,4,0.3636,0.36,4,0,4,4,2011,12,20,1,0
0.81,1,0,4,0.303,0.26,2,11,51,62,2011,12,4,6,1
0.83,1,0,2,0.5455,0.58,21,28,149,177,2011,5,16,0,0
0.83,1,0,2,0.5152,0.54,22,25,147,172,2011,5,12,3,0
0.94,3,0,4,0.4545,0.46,19,5,106,111,2011,11,22,1,0
0.93,3,0,1,0.2576,0.24,18,6,20,26,2012,12,24,0,0
0.49,2,0,1,0.303,0.34,19,16,96,112,2011,12,30,4,0
0.45,2,0,3,0.6515,0.72,23,37,175,212,2012,7,13,4,0
0.7,1,0,3,0.6515,0.7,23,23,58,81,2011,6,28,1,0
0.88,2,0,2,0.5,0.52,12,53,170,223,2011,5,13,4,0
0.81,2,0,1,0.3485,0.36,11,13,62,75,2011,3,16,2,0
0.83,3,0,2,0.5606,0.6,0,3,32,35,2011,5,25,2,0
0.49,1,0,3,0.7879,0.84,12,63,191,254,2012,6,22,4,0
0.72,2,0,2,0.5,0.52,5,0,17,17,2012,5,1,1,0
0.88,1,0,2,0.5303,0.56,3,0,14,14,2012,5,4,4,0
0.81,1,0,1,0.2879,0.24,0,3,13,16,2011,1,1,5,1
0.78,1,0,2,0.5909,0.64,23,33,74,107,2011,6,12,6,1
0.88,3,0,4,0.4545,0.46,22,5,35,40,2011,11,20,6,1
0.77,2,0,1,0.4242,0.42,7,8,108,116,2011,2,18,4,0
0.61,1,0,4,0.303,0.28,21,4,135,139,2011,12,8,3,0
0.56,1,0,2,0.6212,0.6,9,79,143,222,2012,5,13,6,1
0.83,2,0,2,0.6061,0.66,8,31,458,489,2011,5,26,3,0
0.4,1,0,1,0.197,0.2,17,5,170,175,2011,2,3,3,0
0.35,1,0,3,0.6212,0.62,15,57,254,311,2012,9,19,2,0
0.44,1,0,1,0.197,0.22,13,0,49,49,2011,1,12,2,0
0.66,2,0,4,0.3182,0.32,22,10,143,153,2012,11,15,3,0
0.82,1,0,4,0.3939,0.38,22,5,90,95,2011,11,29,1,0
0.88,2,0,4,0.4545,0.46,23,8,54,62,2011,12,5,0,0
0.49,1,0,1,0.2727,0.3,0,7,12,19,2011,2,15,1,0
0.52,1,0,1,0.303,0.3,22,6,53,59,2011,1,19,2,0
0.41,1,0,2,0.4545,0.46,12,60,199,259,2012,4,12,3,0
0.33,1,1,4,0.4545,0.46,16,101,81,182,2012,11,22,3,0
0.81,3,0,4,0.3333,0.36,15,5,57,62,2011,11,10,3,0
0.3,1,0,3,0.6364,0.7,20,88,417,505,2012,6,26,1,0
0.7,1,0,1,0.2424,0.26,4,0,4,4,2012,1,25,2,0
0.53,1,0,3,0.6212,0.64,20,54,206,260,2011,8,23,1,0
0.94,2,0,2,0.5,0.52,9,14,86,100,2011,5,14,5,1
0.54,1,0,1,0.1212,0.1,4,1,2,3,2011,1,10,0,0
0.44,2,0,1,0.2273,0.2,23,0,32,32,2012,1,4,2,0
0.57,1,0,3,0.6212,0.62,6,8,185,193,2012,6,28,3,0
0.88,2,0,4,0.5303,0.56,7,12,34,46,2011,9,24,5,1
0.33,1,0,1,0.2879,0.3,19,11,134,145,2011,3,7,0,0
0.73,3,0,2,0.6061,0.64,16,54,335,389,2012,5,8,1,0
0.93,2,0,4,0.3636,0.36,0,5,98,103,2012,12,8,5,1
0.81,2,0,1,0.2727,0.26,7,11,242,253,2012,2,29,2,0
0.6,1,0,1,0.2576,0.24,22,5,53,58,2012,12,23,6,1
0.54,1,0,3,0.6667,0.72,10,73,161,234,2012,8,30,3,0
0.88,2,0,4,0.5,0.52,3,5,8,13,2012,10,26,4,0
0.72,1,0,3,0.5,0.52,0,8,41,49,2012,9,12,2,0
0.88,3,0,4,0.5152,0.54,10,17,108,125,2011,10,14,4,0
0.83,1,0,2,0.5303,0.56,22,56,164,220,2012,3,22,3,0
0.81,1,0,4,0.2879,0.26,4,0,5,5,2012,12,1,5,1
0.74,1,0,3,0.6667,0.7,0,6,68,74,2011,8,21,6,1
0.6,2,0,1,0.2424,0.24,0,3,22,25,2012,12,28,4,0
0.81,1,0,4,0.3182,0.32,5,0,18,18,2011,11,1,1,0
0.65,2,0,2,0.6364,0.68,17,204,298,502,2012,5,5,5,1
0.46,2,0,1,0.3182,0.34,5,0,5,5,2012,3,4,6,1
0.44,1,0,4,0.2879,0.24,10,30,164,194,2011,12,11,6,1
0.43,1,0,1,0.3939,0.38,19,12,86,98,2011,2,14,0,0
0.49,1,0,3,0.7727,0.82,9,34,329,363,2012,7,27,4,0
0.65,1,0,2,0.6515,0.7,19,97,167,264,2011,6,11,5,1
0.49,1,0,3,0.7879,0.84,13,48,127,175,2011,8,9,1,0
0.48,1,0,3,0.6667,0.74,21,49,196,245,2011,7,27,2,0
0.51,1,0,1,0.1818,0.2,7,2,66,68,2011,1,21,4,0
0.76,1,0,1,0.3333,0.32,5,0,13,13,2011,3,17,3,0
0.69,1,0,4,0.2273,0.22,5,0,39,39,2012,11,14,2,0
0.58,1,0,3,0.6667,0.72,3,0,4,4,2011,7,27,2,0
0.82,2,0,2,0.4848,0.5,9,61,289,350,2012,5,7,0,0
0.53,1,0,4,0.303,0.32,18,23,523,546,2012,12,11,1,0
0.58,1,0,2,0.6515,0.7,9,91,175,266,2012,6,10,6,1
0.29,1,0,1,0.1818,0.18,18,7,113,120,2012,1,15,6,1
0.93,3,0,1,0.2576,0.24,21,13,9,22,2012,12,24,0,0
0.87,3,0,4,0.3182,0.36,2,7,4,11,2012,11,13,1,0
